種類,ID,人物,位置,內容,跳轉,效果,目標
對話,10001,古雷皮,show;90004;1||show;90003;1,都來了?很好。,10002,,
對話,10002,曉琪,show;90002;1,目標?,10003,,
對話,10003,古雷皮,show;90004;1,黑市商人【XX】。他剛搞到一批新貨，你們的任務是把貨帶回來，記住，別留活口。,10004,,
對話,10004,玄天,show;90001;1,就這麼簡單?,10005,,
對話,10005,古雷皮,show;90004;1,不簡單。XX那人狡猾，交易地點隨時可能變動。目前鎖定的可能地點有三個，都集中在城西舊倉庫區。你們兩人去，東西必須拿到手，不留活口。明白了嗎？,10006,,
選項,10006,玄天,show;90001;1,就我們倆？不需要更多人手嗎？,10008,,
選項,10007,玄天,show;90001;1,具體行動路線和撤離方案？,10010,,
對話,10008,古雷皮,show;90004;1,兩個就夠了。人多反而礙事，難道你覺得你們兩個做不到?還是說，你對自己的能力有所懷疑？,10009,,
對話,10009,玄天,show;90001;1,沒，就只是確認一下。,10012,,
對話,10010,古雷皮,show;90004;1,路線你們自己規劃。我只要結果。自己想辦法，這也是你們任務的一部分。,10011,,
對話,10011,玄天,show;90001;1,明白了。,10012,,
對話,10012,曉琪,show;90002;1,還有其他要求嗎?,10013,,
對話,10013,古雷皮,show;90004;1,沒了，你們趕緊行動吧。,10014,,
對話,10014,曉琪,show;90002;1,走吧，玄天，時間不早了。,10001,,
結束,,,,,,,
